vertex,is_boundary,flattened,candidate,K_orig,K_final,K_rounded
2234,0,1,0,-0.0099214053529239621,-1.3485546741520693e-06,
2235,0,1,0,-0.009490142191294737,-2.7510271563002675e-06,
2236,0,1,0,-0.0088940810277060578,-4.3205706461435511e-06,
2237,0,1,0,-0.0081435897624881903,-5.7571290534852437e-06,
2238,0,1,0,-0.0072687230874777242,-6.799909474608512e-06,
2239,0,1,0,-0.0062511786861056962,-7.1988107634979315e-06,
2240,0,1,0,-0.0051365614324367925,-6.8714749916765072e-06,
2241,0,1,0,-0.003936350881335926,-5.8031266094715761e-06,
2242,0,1,0,-0.002659454147476481,-4.0807308590018465e-06,
2243,0,1,0,-0.0013417515304467997,-1.9156283563859233e-06,
2244,0,1,0,-3.872457909892546e-13,4.5352818744959222e-07,
2245,0,1,0,0.0013422386667016895,2.7524292374181414e-06,
2246,0,1,0,0.0026593651845843169,4.7181964992759617e-06,
2247,0,1,0,0.0039370443909509945,6.1539706583957354e-06,
2248,0,1,0,0.0051376736130617218,6.9064485197500858e-06,
2249,0,1,0,0.0062548267792852386,6.9583813182561016e-06,
2250,0,1,0,0.0072632442543856257,6.3581601486006889e-06,
2251,0,1,0,0.0081518800191622276,5.2501891234513209e-06,
2252,0,1,0,0.0088983666823736485,3.8486258757686187e-06,
2253,0,1,0,0.0094894412306967268,2.4083477629943673e-06,
2254,0,1,0,0.0099139426498116023,1.1764460747798466e-06,
2255,0,1,0,0.010186984820315104,3.3634836071883001e-07,
2256,0,1,0,0.010268255325621034,7.4852977149930666e-09,
2257,0,1,0,0.010186935722584778,3.0630140113174775e-07,
2258,0,1,0,0.0099242105120991297,1.1446756884581077e-06,
2259,0,1,0,0.0094922054927710775,2.3888966005358725e-06,
2260,0,1,0,0.0088948208983481436,3.8403914199847122e-06,
2261,0,1,0,0.008153153258048107,5.2369500824767101e-06,
2262,0,1,0,0.0072705758707805046,6.3514322974356219e-06,
2263,0,1,0,0.0062562062344859726,6.9567913731916065e-06,
2264,0,1,0,0.0051341209600712645,6.9059382825642501e-06,
2265,0,1,0,0.0039340228752262618,6.154361877008796e-06,
2266,0,1,0,0.0026578343841237029,4.7189913336964651e-06,
2267,0,1,0,0.001340771338377067,2.7508518991581354e-06,
2268,0,1,0,-9.4768637382003362e-13,4.5380557800456245e-07,
2269,0,1,0,-0.0013413195701117431,-1.9142261171722907e-06,
2270,0,1,0,-0.0026582430718082861,-4.0787896118388289e-06,
2271,0,1,0,-0.003935770457191623,-5.8018715023422374e-06,
2272,0,1,0,-0.0051376964587301899,-6.8752953188422339e-06,
2273,0,1,0,-0.0062521380131173032,-7.2051899504543826e-06,
2274,0,1,0,-0.0072710370628641385,-6.8135903994459568e-06,
2275,0,1,0,-0.0081487341335169106,-5.7797277088766918e-06,
2276,0,1,0,-0.0089007252933201997,-4.3427787570493592e-06,
2277,0,1,0,-0.0094891533565180097,-2.7600042651343415e-06,
2278,0,1,0,-0.0099217182996298448,-1.3522576676194831e-06,
2279,0,1,0,-0.010185262846661658,-3.8131943203012497e-07,
2280,0,1,0,-0.010271321980937387,-3.8794679468878712e-08,
2281,0,1,0,-0.010185262846661658,-3.8131942226016236e-07,
2282,0,1,0,-0.0099217182996298448,-1.3522576480795578e-06,
2283,0,1,0,-0.0094891533565180097,-2.7600042242781342e-06,
2284,0,1,0,-0.0089007252933210879,-4.342778665566982e-06,
2285,0,1,0,-0.0081487341335169106,-5.7797275161419748e-06,
2286,0,1,0,-0.0072710365917219022,-6.8135896391652295e-06,
2287,0,1,0,-0.0062521384705878091,-7.2051903590164557e-06,
2288,0,1,0,-0.0051376964587301899,-6.8752954387463205e-06,
2289,0,1,0,-0.003935770457191623,-5.8018715414220878e-06,
2290,0,1,0,-0.0026582430718073979,-4.0787896242733268e-06,
2291,0,1,0,-0.0013413195701117431,-1.9142261189486476e-06,
2292,0,1,0,-9.4857455223973375e-13,4.5380558155727613e-07,
2293,0,1,0,0.001340771338377067,2.7508519000463139e-06,
2294,0,1,0,0.0026578343841237029,4.7189913345846435e-06,
2295,0,1,0,0.0039340228752262618,6.1543618805615097e-06,
2296,0,1,0,0.0051341209600712645,6.9059382870051422e-06,
2297,0,1,0,0.0062562062344859726,6.9567913847379259e-06,
2298,0,1,0,0.0072705758707796164,6.3514323196400824e-06,
2299,0,1,0,0.008153153258048107,5.2369501180038469e-06,
2300,0,1,0,0.0088948208983481436,3.840391489262629e-06,
2301,0,1,0,0.0094922054927710775,2.388896739091706e-06,
2302,0,1,0,0.0099242102890801931,1.1446763998890219e-06,
2303,0,1,0,0.010186935944466846,3.0630080161131445e-07,
2304,0,1,0,0.010258959110950983,4.0916160237713939e-08,
2305,0,1,0,0.010185263838948799,3.2490655410555291e-07,
2306,0,1,0,0.0099287268024372821,1.1630202063628303e-06,
2307,0,1,0,0.0094783463806971113,2.4114882100079171e-06,
2308,0,1,0,0.0089056221037466798,3.8553377006422807e-06,
2309,0,1,0,0.0081390741882225726,5.2506606618152318e-06,
2310,0,1,0,0.0072715714796549591,6.3612451519645674e-06,
2311,0,1,0,0.0062545183771138824,6.9580537971347667e-06,
2312,0,1,0,0.0051364329499046235,6.9076537911882951e-06,
2313,0,1,0,0.0039353001523236841,6.1526823964541677e-06,
2314,0,1,0,0.0026601900514640064,4.7201054540479959e-06,
2315,0,1,0,0.0013419215922425565,2.751839835113401e-06,
2316,0,1,0,-1.2505552149377763e-12,4.5350108202057982e-07,
2317,0,1,0,-0.0013417747025421534,-1.9154377461916283e-06,
2318,0,1,0,-0.0026588287046696024,-4.0792971596204097e-06,
2319,0,1,0,-0.0039351302404302402,-5.8014723833821336e-06,
2320,0,1,0,-0.0051369510067358348,-6.8722869457360503e-06,
2321,0,1,0,-0.0062532960554824157,-7.2065878775617875e-06,
2322,0,1,0,-0.0072692148485238306,-6.8077870754024161e-06,
2323,0,1,0,-0.0081477652477186524,-5.7727606224133865e-06,
2324,0,1,0,-0.0088987240689162306,-4.3343926838801394e-06,
2325,0,1,0,-0.0094891383860291612,-2.7567461557964634e-06,
2326,0,1,0,-0.0099200592733907911,-1.345230136173825e-06,
2327,0,1,0,-0.01018567445567431,-3.7228728189120375e-07,
2328,0,1,0,-0.010264620222895537,-2.1073741862664974e-08,
2329,0,1,0,-0.01018567445567431,-3.7228728277938217e-07,
2330,0,1,0,-0.0099200592733907911,-1.3452301494965013e-06,
2331,0,1,0,-0.0094891383860291612,-2.7567461957644923e-06,
2332,0,1,0,-0.0088987240689162306,-4.3343927735861598e-06,
2333,0,1,0,-0.0081477652477186524,-5.7727608142599252e-06,
2334,0,1,0,-0.0072692153196900477,-6.807787834794965e-06,
2335,0,1,0,-0.0062532955979897054,-7.2065874689997145e-06,
2336,0,1,0,-0.0051369510067358348,-6.8722868249437852e-06,
