vertex,u
323,0.017161047758174459
324,-0.015995138033953894
325,-0.048084572404592539
326,-0.078656072449145367
327,-0.10731027444466044
328,-0.13371384120736257
329,-0.15758565372176472
330,-0.17869189310939718
331,-0.19684576431693387
332,-0.21188964264007157
333,-0.22370810192692483
334,-0.2322083786915192
335,-0.23733470750026731
336,-0.23904816630969045
337,-0.23733653499217958
338,-0.23221110807969428
339,-0.22370835015202609
340,-0.21188959263171384
341,-0.19684372783799578
342,-0.17869357759999016
343,-0.15758613290057522
344,-0.13371229378366953
345,-0.10730797573979105
346,-0.078655495475694809
347,-0.048084693312038393
348,-0.01599518184945984
349,0.01716011176052433
350,0.050858625573882855
351,0.084508361484881805
352,0.11746116255175765
353,0.14901470361078789
354,0.17843280738574202
355,0.20496564601384931
356,0.22788582260812004
357,0.2465166551316253
358,0.26027852914052102
359,0.26872493859256463
360,0.2715723403193317
361,0.26872493858958335
362,0.26027852913599508
363,0.2465166551284296
364,0.22788582259379295
365,0.20496564600266981
366,0.17843280737642961
367,0.14901470360291305
368,0.11746116254524734
369,0.084508361479773864
370,0.050858625570244259
371,0.017160111758442082
372,-0.015995181849864586
373,-0.048084693310589351
374,-0.07865549547214247
375,-0.107307975733804
376,-0.13371229377484231
377,-0.15758613288848197
378,-0.17869357758433085
379,-0.19684372781992396
380,-0.21188959261410917
381,-0.2237083501417845
382,-0.23221110809209605
383,-0.23733653501859109
384,-0.23904745063402899
385,-0.23733503898782715
386,-0.23221021558201957
387,-0.2237059449810716
388,-0.21188967448743565
389,-0.1968431234601962
390,-0.17869274498301424
391,-0.15758555719782066
392,-0.13371327516204701
393,-0.10730894351260671
394,-0.078655854489232652
395,-0.048084270354063499
396,-0.015994856919935563
397,0.017161084693507401
398,0.050858342434641518
399,0.08450947001781367
400,0.11746155921295334
401,0.14901614466363483
402,0.17843277227247115
403,0.20496697857034116
404,0.2278860207760619
405,0.2465162660373279
406,0.26027748004518286
407,0.26872387775991646
408,0.27157031722040242
409,0.26872387775844891
410,0.26027748004249351
411,0.24651626603358451
412,0.22788602077057843
413,0.20496697856473439
414,0.17843277226735116
415,0.14901614465927202
416,0.11746155920950384
417,0.084509470015388055
418,0.050858342433328416
419,0.017161084693382584
420,-0.015994856918808077
421,-0.04808427035164109
422,-0.078655854485515764
423,-0.10730894350768513
424,-0.13371327515618089
425,-0.15758555719157949
426,-0.17869274496947948
427,-0.19684312344641069
428,-0.21188967447291052
429,-0.22370594496520144
430,-0.23221021556309002
431,-0.23733503896088642
432,-0.23904743931176803
433,-0.23733368811705011
434,-0.23220951346977783
435,-0.22370741601536825
436,-0.2118908219625425
437,-0.19684776968166753
438,-0.17869232571273541
439,-0.15758520082678584
440,-0.13371461878433277
441,-0.10730919598704144
442,-0.078654918698733423
443,-0.048086202064809881
444,-0.015993555864497095
445,0.017161710838917116
446,0.050858198116113876
447,0.084508534558926818
448,0.11746151115917473
449,0.14901502141560194
450,0.1784317753138264
451,0.20496617340583276
452,0.22788505190616345
453,0.24651606206422355
454,0.26027674505172993
455,0.26872388193015412
456,0.27157087719262774
457,0.26872388192942803
458,0.2602767450503648
459,0.24651606206234042
460,0.22788505190389036
461,0.20496617340352669
462,0.17843177531177429
463,0.14901502141400066
464,0.11746151115815966
465,0.084508534558597026
466,0.05085819811654875
467,0.017161710840186445
468,-0.015993555862325221
469,-0.048086202061660081
470,-0.078654918694506706
471,-0.10730919598158506
472,-0.13371461877738361
473,-0.15758520081786162
474,-0.17869232570895591
475,-0.19684776967630183
476,-0.21189082195641268
477,-0.22370741600913277
478,-0.23220951346414762
479,-0.23733368811311784
480,-0.23904816487302497
481,-0.23733398727352653
482,-0.23220980103698555
483,-0.22370767139491901
484,-0.21188902229606982
485,-0.19684341546571288
486,-0.1786937508957783
487,-0.15758664419523852
488,-0.13371266855977851
489,-0.10730733034153227
490,-0.078655174461719324
491,-0.048084447327774865
492,-0.015995331288138136
493,0.017161959233585173
494,0.05085692791584405
495,0.084508466021934195
496,0.11746283017791599
497,0.14901530790315912
498,0.17843335249685605
499,0.20496898506389988
500,0.22788664359552649
501,0.24651925167448452
502,0.26027890027850031
503,0.26872680865305276
504,0.27157396967306935
505,0.2687268086527958
506,0.26027890027808098
507,0.24651925167405087
508,0.22788664359521985
509,0.20496898506382213
510,0.17843335249706624
511,0.1490153079036946
512,0.11746283017880829
513,0.084508466023214296
514,0.05085692791754199
515,0.017161959235726856
516,-0.01599533128553518
517,-0.048084447324707361
518,-0.078655174458205662
519,-0.10730733033762584
520,-0.13371266855559455
521,-0.15758664419100368
522,-0.1786937508919281
523,-0.19684341546208967
524,-0.21188902229273465
525,-0.22370767139204598
526,-0.23220980103481373
527,-0.23733398727232463
528,-0.23904755524264185
529,-0.23733360418022023
530,-0.23220926896251798
531,-0.22370699054132376
532,-0.21189014076468399
533,-0.19684533585893357
534,-0.17869165338764681
535,-0.15758478844961252
536,-0.13371437216815241
537,-0.10730905114776806
538,-0.078654824008227722
539,-0.048086095901821641
540,-0.015993524884420185
541,0.017161698953022612
542,0.050858147483303293
543,0.084508448754206586
544,0.1174614091708802
545,0.1490149887582416
546,0.17843212354851537
547,0.20496622374331411
548,0.22788502510856698
549,0.24651603446456402
550,0.26027673090919223
551,0.26872388142825193
552,0.2715708817328934
553,0.26872388142816062
554,0.26027673090923276
555,0.2465160344650946
556,0.22788502510985395
557,0.20496622374522144
558,0.17843212355080873
559,0.14901498876074198
560,0.11746140917349103
561,0.08450844875689191
562,0.050858147486060414
563,0.017161698955860664
564,-0.015993524881494608
565,-0.048086095898812846
566,-0.07865482400515704
567,-0.10730905114467744
568,-0.13371437216510554
569,-0.15758478844669285
570,-0.1786916533849448
571,-0.19684533585651015
572,-0.21189014076260454
573,-0.22370699053966242
574,-0.23220926896135144
575,-0.23733360417961594
576,-0.23904537365652978
577,-0.23733451465473016
578,-0.23220989784820059
579,-0.22370573192717924
580,-0.21188949851638456
581,-0.19684292892935684
582,-0.17869262842820091
583,-0.15758549350134066
584,-0.13371327412750569
585,-0.10730902615351258
586,-0.078656072376384542
587,-0.048086503750134908
588,-0.015994992342326923
589,0.01716103136090804
590,0.050858217016269913
591,0.084509205058067513
592,0.11746098211704722
593,0.14901481997682209
594,0.17843286973382791
595,0.20496624354959828
596,0.22788570644487036
597,0.24651614723003867
598,0.26027745855736384
599,0.26872390488539522
600,0.27157035889120773
601,0.26872390488474213
602,0.26027745855667034
603,0.24651614723059365
604,0.2278857064481801
