face,alpha_mod,dirx,diry,dirz,cx,cy,cz
6662,0.487341,0.59363,-0.278405,-0.755046,-0.112398,-0.190381,0.852053
6663,1.2822,-0.181593,-0.424271,-0.88714,-0.116175,-0.177061,0.883963
6664,1.12332,0.948211,-0.224045,-0.225165,-0.118533,-0.168359,0.898849
6665,1.03977,-0.426731,-0.568753,-0.70315,-0.121776,-0.147171,0.926251
6666,0.611208,0.652997,-0.604583,-0.456152,-0.123701,-0.134865,0.938406
6667,1.34163,-0.16204,-0.809908,-0.56373,-0.126189,-0.107251,0.959431
6668,1.28846,0.972001,-0.234971,-0.0015648,-0.127551,-0.0921786,0.968026
6669,1.51466,0.993772,-0.0411768,0.103549,-0.128895,-0.0682786,0.978449
6670,0.630593,-0.788569,-0.578315,-0.209072,-0.129953,-0.0346586,0.987389
6671,0.833247,-0.662128,-0.738537,-0.127079,-0.130354,-0.00870199,0.990201
6672,0.460304,0.439217,-0.895166,0.0759343,-0.0522612,0.00870199,0.997376
6673,1.24002,-0.331767,-0.927644,0.171484,-0.0520826,0.0432113,0.99284
6674,0.805975,-0.700975,-0.683262,0.204419,-0.0517293,0.0682786,0.985546
6675,0.878126,-0.651457,-0.690281,0.314828,-0.0512066,0.0921786,0.975049
6676,1.37278,0.970431,-0.181355,0.159293,-0.0505239,0.107251,0.966374
6677,1.43937,-0.156601,-0.745624,0.647704,-0.0496933,0.134865,0.945219
6678,0.651743,-0.812317,-0.40008,0.424354,-0.0487279,0.152921,0.926393
6679,0.790664,-0.726026,-0.395128,0.562814,-0.0476439,0.168359,0.905378
6680,1.11507,-0.471386,-0.397415,0.78731,-0.0464613,0.180919,0.882531
6681,0.734973,-0.766208,-0.215671,0.60532,-0.0451999,0.190381,0.858245
6682,1.02273,-0.553518,-0.166643,0.815995,-0.0438813,0.196587,0.832933
6683,0.521002,0.428321,-0.0580355,0.901761,-0.0425279,0.198859,0.815732
6684,0.997884,-0.574588,0.0550307,0.816591,-0.0411626,0.198859,0.780978
6685,1.36554,-0.241344,0.191154,0.951427,-0.0398086,0.194885,0.755224
6686,1.092,-0.493378,0.285437,0.821647,-0.0384893,0.187579,0.730208
6687,0.873439,0.719359,0.295994,0.628418,-0.0372279,0.180919,0.714179
6688,1.52713,-0.0762428,0.555311,0.828141,-0.0360453,0.163515,0.684081
6689,0.995002,-0.568829,0.553258,0.608555,-0.0349619,0.147171,0.66376
6690,0.854908,0.719204,0.508139,0.473857,-0.0339966,0.134865,0.651492
6691,1.5052,-0.0872735,0.829868,0.551091,-0.0331653,0.107251,0.630336
6692,0.675366,-0.790722,0.560808,0.245465,-0.0324826,0.0843573,0.617804
6693,0.357381,0.325834,0.891273,0.31538,-0.0319599,0.0682786,0.611165
6694,0.254401,0.236652,0.951103,0.198492,-0.0316066,0.0432113,0.603872
6695,0.840371,-0.668584,0.743298,0.0224496,-0.0314286,0.00870199,0.599335
6696,0.176311,0.180305,0.981941,-0.0572813,-0.0314286,-0.00870199,0.599335
6697,0.177804,-0.98212,0.173475,-0.073123,-0.0316066,-0.0432113,0.603872
6698,0.193039,-0.978251,0.181674,-0.100102,-0.0319599,-0.0682786,0.611165
6699,1.51461,0.99915,0.0347998,0.0220866,-0.0324826,-0.0843573,0.617804
6700,1.15899,0.932482,0.316205,-0.174619,-0.0331653,-0.107251,0.630336
6701,0.113146,-0.989919,0.0849167,-0.113356,-0.0339966,-0.134865,0.651492
6702,1.47598,0.999023,0.0430674,-0.00986358,-0.0349619,-0.147171,0.66376
6703,1.03096,0.889314,0.269969,-0.369104,-0.0360453,-0.163515,0.684081
6704,0.20171,-0.97191,0.0886754,-0.218008,-0.0372279,-0.180919,0.714179
6705,1.45679,0.999135,0.0246882,-0.0334564,-0.0384893,-0.187579,0.730208
6706,1.18959,0.954078,0.0656004,-0.292288,-0.0398086,-0.194885,0.755224
6707,0.24289,0.315752,0.0628995,-0.946755,-0.0411626,-0.198859,0.780978
6708,0.841053,-0.636949,-0.0488144,-0.769359,-0.0425279,-0.198859,0.815732
6709,1.54351,0.998736,0.00217937,0.0502179,-0.0438813,-0.196587,0.832933
6710,0.222261,0.292291,-0.310859,-0.904396,-0.0451999,-0.190381,0.858245
6711,0.338213,0.397275,-0.412088,-0.819973,-0.0464613,-0.180919,0.882531
6712,0.620217,0.632963,-0.441538,-0.635926,-0.0476439,-0.168359,0.905378
6713,0.175765,0.232606,-0.645722,-0.727281,-0.0487279,-0.152921,0.926393
6714,0.730262,0.704383,-0.547174,-0.452156,-0.0496933,-0.134865,0.945219
6715,1.19149,-0.349739,-0.772578,-0.529911,-0.0505239,-0.107251,0.966374
6716,1.31981,0.976103,-0.207652,-0.0640565,-0.0512066,-0.0921786,0.975049
6717,1.45782,0.995466,-0.0948694,0.00690814,-0.0517293,-0.0682786,0.985546
6718,1.17686,0.928481,-0.369531,-0.0370203,-0.0520826,-0.0432113,0.99284
6719,0.448428,-0.899323,-0.432622,-0.0636864,-0.0522612,-0.00870199,0.997376
6720,0.33754,0.330913,-0.942399,0.0488027,0.0261534,0.00870199,0.998401
6721,1.49038,0.99603,-0.0862696,-0.0219625,0.026108,0.0346586,0.995561
6722,0.824913,-0.668833,-0.695556,0.26242,0.0257547,0.0682786,0.986567
6723,0.859127,-0.639453,-0.67927,0.360127,0.025452,0.0921786,0.976061
6724,1.28007,0.957524,-0.255731,0.133227,0.025452,0.107251,0.967359
6725,1.33139,-0.211803,-0.730645,0.649075,0.0246214,0.134865,0.946204
6726,1.48758,-0.0536419,-0.657305,0.751713,0.0241067,0.152921,0.927361
6727,1.51147,0.998003,-0.0510579,0.0371957,0.0241067,0.163515,0.913553
6728,0.714368,-0.731861,-0.289958,0.616688,0.022924,0.180919,0.883456
6729,0.402015,-0.905018,-0.125845,0.406332,0.022276,0.190381,0.859145
6730,1.41185,0.987365,-0.0383053,0.153764,0.022276,0.194885,0.842335
6731,0.230546,0.228508,-0.0642934,0.971417,0.0216054,0.198859,0.816554
6732,0.400012,-0.905088,0.0255032,0.424459,0.02024,0.198859,0.7818
